Threads
thread	group	parent	class	method
--------------------------------------------------------------
0x80a4b80	Finalizer	system	<unknown>	
0x80a3e38	Reference Handler	system	<unknown>	
0x8246ea8	Signal Dispatcher	system	<unknown>	
0x8244db0	jmp-gtk	system	<unknown>	



Classdump
class_name	#instaces	max #instances	size	#GC	tenure
java.util.regex.Pattern$TreeInfo	1	1	24	0	0
java.lang.ThreadLocal$ThreadLocalMap	1	1	24	0	0
sun.reflect.MethodAccessorGenerator$1	1	1	24	0	0
sun.nio.cs.UTF_8	1	1	24	0	0
sun.nio.cs.StandardCharsets	1	1	24	0	0
java.io.UnixFileSystem	1	1	24	0	0
java.lang.ClassCastException	1	1	24	0	0
java.lang.StringCoding$CharsetSD	1	1	24	0	0
java.security.Provider$ServiceKey	1	1	24	0	0
java.lang.reflect.ReflectPermission	1	1	24	0	0
java.lang.StringCoding$CharsetSE	1	1	24	0	0
java.util.regex.Pattern$JavaUpperCase	1	1	16	0	0
java.util.regex.Pattern$JavaISOControl	1	1	16	0	0
java.nio.charset.CoderResult$2	1	1	16	0	0
sun.reflect.BootstrapConstructorAccessorImpl	1	1	16	0	0
java.util.regex.Pattern$JavaIdentifierIgnorable	1	1	16	0	0
java.util.regex.Pattern$Node	1	1	16	0	0
java.util.regex.Pattern$JavaJavaIdentifierPart	1	1	16	0	0
java.util.regex.Pattern$All	1	1	16	0	0
java.util.regex.Pattern$JavaLetter	1	1	16	0	0
java.lang.Shutdown$Lock	2	2	16	0	0
java.util.regex.Pattern$JavaTitleCase	1	1	16	0	0
sun.misc.FloatingDecimal$1	1	1	16	0	0
java.util.regex.Pattern$JavaMirrored	1	1	16	0	0
java.util.regex.Pattern$JavaSpaceChar	1	1	16	0	0
java.lang.Class$1	1	1	16	0	0
java.util.regex.Pattern$JavaUnicodeIdentifierStart	1	1	16	0	0
java.util.regex.Pattern$LastNode	1	1	16	0	0
java.util.regex.Pattern$JavaLetterOrDigit	1	1	16	0	0
sun.misc.Launcher	1	1	16	0	0
java.util.regex.Pattern$JavaDigit	1	1	16	0	0
sun.misc.URLClassPath$FileLoader	1	1	16	0	0
java.util.Collections$EmptyMap	1	1	16	0	0
java.util.regex.Pattern$JavaLowerCase	1	1	16	0	0
java.util.regex.Pattern$Start	1	1	16	0	0
java.util.regex.Pattern$JavaWhitespace	1	1	16	0	0
java.nio.charset.CoderResult$1	1	1	16	0	0
java.util.regex.Pattern$JavaUnicodeIdentifierPart	1	1	16	0	0
java.util.regex.Pattern$JavaJavaIdentifierStart	1	1	16	0	0
java.util.BitSet	1	1	16	0	0
java.util.Collections$EmptyList	1	1	16	0	0
java.util.regex.Pattern$JavaDefined	1	1	16	0	0
java.util.concurrent.atomic.AtomicLong	1	1	16	0	0
sun.net.www.protocol.jar.Handler	2	2	16	0	0
sun.reflect.ClassDefiner$1	1	1	16	0	0
java.lang.reflect.ReflectAccess	1	1	8	0	0
sun.reflect.ReflectionFactory	1	1	8	0	0
java.lang.ref.Reference$Lock	1	1	8	0	0
java.lang.Runtime	1	1	8	0	0
java.util.Collections$ReverseComparator	1	1	8	0	0
java.lang.Terminator$1	1	1	8	0	0
java.lang.String$CaseInsensitiveComparator	1	1	8	0	0
sun.security.provider.Sun$1	1	1	8	0	0
java.lang.System$2	1	1	8	0	0
sun.misc.ASCIICaseInsensitiveComparator	1	1	8	0	0
java.util.jar.JavaUtilJarAccessImpl	1	1	8	0	0
java.util.Hashtable$EmptyIterator	1	1	8	0	0
java.security.Security$1	1	1	8	0	0
java.util.Collections$EmptySet	1	1	8	0	0
sun.misc.Unsafe	1	1	8	0	0
sun.security.provider.NativePRNG$1	1	1	8	0	0
sun.reflect.GeneratedConstructorAccessor1	1	1	8	0	0
sun.misc.Launcher$Factory	1	1	8	0	0
java.net.UnknownContentHandler	1	1	8	0	0
java.util.Hashtable$EmptyEnumerator	1	1	8	0	0
sun.net.www.protocol.file.Handler	1	1	8	0	0
java.util.zip.ZipFile$1	1	1	8	0	0



Methods
class name	method	sec	calls	subsec	#alloced instances	#alloced bytes
--------------------------------------------------------------
java.lang.Math	int max (int, int)	0.056103000	13446	0.000000000	0	0
java.util.jar.JarFile	boolean hasClassPathAttribute ()	0.052513000	46	0.094389000	86	115352
java.lang.String	char charAt (int)	0.041890000	13486	0.000000000	0	0
sun.net.www.ParseUtil	java.lang.String decode (java.lang.String)	0.030513000	69	0.056004000	69	1104
java.lang.StringBuilder	java.lang.StringBuilder append (char)	0.026987000	3932	0.014581000	0	0
java.io.UnixFileSystem	java.lang.String normalize (java.lang.String)	0.025527000	120	0.021296000	0	0
java.lang.AbstractStringBuilder	java.lang.AbstractStringBuilder append (char)	0.012713000	3933	0.001871000	0	0
sun.reflect.ClassFileAssembler	void emitByte (byte)	0.012479000	1783	0.005703000	0	0
java.lang.ClassLoader	java.lang.Class defineClass1 (java.lang.String, byte[], int, int, java.security.ProtectionDomain, java.lang.String)	0.009587000	23	0.093898000	191	11776
sun.nio.cs.UTF_8$Encoder	java.nio.charset.CoderResult encodeArrayLoop (java.nio.CharBuffer, java.nio.ByteBuffer)	0.007725000	179	0.005538000	0	0
java.lang.System	void arraycopy (java.lang.Object, int, java.lang.Object, int, int)	0.007398000	2097	0.000000000	0	0
java.lang.StringCoding$CharsetSE	byte[] encode (char[], int, int)	0.007273000	162	0.048387000	162	38592
java.util.zip.ZipFile	long open (java.lang.String, int, long)	0.006971000	46	0.020437000	2	104
java.lang.AbstractStringBuilder	java.lang.AbstractStringBuilder append (java.lang.String)	0.006658000	725	0.012060000	0	0
